Schulart;Ort;Name;Schulnummer;Strasse;PLZ;Telefon;URL
HS;Aach;"HS Aach";25049;"Haus auf dem Wehrborn";54298;(0651)8244-150;
GS;Adenau;"GS Adenau";11725;Schulstr.;53518;(02691)546;
GY;Adenau;"GY Adenau";50404;"Dr.-Klausener-Str. 43-45";53518;"(02691) 92120";http://www.ekgadenau.de
RS+FOS;Adenau;"RS+FOS Adenau";40221;"Alte Poststr.";53518;(02691)92260;http://www.rs-adenau.de
GS;Ahrbrück;"GS Ahrbrück";11739;"Kesslinger Str. 8";53506;(02643)6774;
GS;Albersweiler;"GS Albersweiler";25755;"Auf der Lehr";76857;(06345)1648;
GS;Albig;"GS Albig";25006;"Ardennenstr. 20";55234;(06731)7558;
GS;Alf;"GS Alf";11768;"Mühlenstr. 5";56859;(06542)22374;
GS;Alflen;"GS Alflen";11773;"Schulstr. 14";56828;(02678)562;
GS;Alpenrod;"GS Alpenrod";11799;"Schulstr. 8";57642;(02662)7790;
GS;Alsdorf;"GS Alsdorf";11802;"Hauptstr. 53";57518;(02741)23134;
GS;Alsenz;"GS Alsenz";27288;"Am Sportfeld 4";67821;(06362)993085;http://www.nordpfalzschule.de
GS;Alsheim;"GS Alsheim";23954;"Schulstr. 10";67577;(06249)8056990;http://www.grundschule-alsheim.de
GS;Altenahr;"GS Altenahr";26883;"Schulstr. 5";53505;(02643)901859;
RS+;Altenahr;"RS+ Altenahr";41329;"Schulstr. 1";53505;(02643)7397;http://ahrtalschule-altenahr.de/
GY;Altendiez;"GY Altendiez";51531;"Helenenstr. 19";65624;"06432 9527880 ";http://www.campus-altendiez.de
RS+;Altenglan;"RS+ Altenglan";41736;"Schulstr. 14";66885;(06381)2864;http://Schule-Altenglan.de
GS;Altenkirchen;"GS Altenkirchen FEBA";26327;"Heinestr. 12";57610;(02681)3909;http://Feba-AK.de
GS;Altenkirchen;"GS Altenkirchen I";14102;"Ziegelweg 4";57610;(02681)6136;http://www.pestalozzi-ak.de
GS;Altenkirchen;"GS Altenkirchen II";14176;"Siegener Str. 26";57610;(02681)6148;http://www.eks-altenkirchen.de
GS;Altenkirchen;"GS Altenkirchen Pfalz";11832;"Schulstr. 12";66903;(06386)6424;http://www.gs-altenkirchen.de
GY;Altenkirchen;"GY Altenkirchen";51288;"Auf der Glockenspitze";57610;"(02681) 2081";http://www.westerwald-gymnasium.de
RS+FOS;Altenkirchen;"RS+FOS Altenkirchen";40247;Glockenspitze;57610;(02681)2082;http://www.rsplus-altenkirchen.de
STUDSEM;Altenkirchen;"StudSem GY Koblenz TD Altenkirchen";90626;"Bahnhofstraße 28";57610;(02681)9823073;
GS;Altleiningen;"GS Altleiningen";25875;Hauptstr.50;67317;(06356)8539;
FOES;Altleiningen;"SFE Altleiningen";30289;Schloßmühle;67317;(06356)963670;http://jugendhilfe-st-rafael.de
GS;Altrich;"GS Altrich";25862;"Schulstr. 3";54518;(06571)20286;http://www.gsaltrich.de
GS;Altrip;"GS Altrip";23967;"Albert-Schweitzer-Str. 2";67122;(06236)398082;http://ass-altrip.de
BBS;Alzey;"BBS Alzey";60299;"Dr.-Georg-Durst-Str. 34";55232;(06731)96360;http://www.bbsalzey.de
BBS;Alzey;"BBS Alzey DRK";64643;"Kreuznacher Str. 7-9";55232;"(06731) 9997865";
GS;Alzey;"GS Alzey Albert-Schweitzer";20647;"Donnersbergstr. 32";55232;(06731)3193;http://www.ass-alzey.de.vu
GS;Alzey;"GS Alzey Nibelungen";20886;"Nibelungenstr. 14";55232;(06731)3180;http://www.nibelungenschule-alzey.de
GS;Alzey;"GS Alzey St.Marien";21188;"Schulgässchen 7";55232;(06731)6749;http://www.st.marien-schule-alzey.de
GS;Alzey;"GS Alzey-Weinheim";25019;"Rathausstr. 36";55232;(06731)41994;
GY;Alzey;"GY Alzey am Römerkastell";50597;"Jean-Braun-Str. 19";55232;(06731)99880;http://www.roeka-alzey.de
GY;Alzey;"GY Alzey Elisabeth-Langgässer";51081;"Frankenstr. 17";55232;(06731)94775-0;http://www.elg-alzey.de
GY;Alzey;"GY Alzey Staatl. Aufbau";50330;"Ernst-Ludwig-Str. 47-51";55232;"(06731)9601- 0";http://www.aufbaugymnasium-alzey.de
RS+FOS;Alzey;"RS+FOS Alzey";41076;"Dr.-Georg-Durst-Str. 19";55232;(06731)999540;http://www.realschuleplus-alzey.de
FOES;Alzey;"SFG Alzey";31270;"Kirchenplatz 6a";55232;(06731)990950;http://www.loewenschule-alzey.de
FOES;Alzey;"SFL Alzey";31447;"Dr.-Georg-Durst-Str. 30";55232;(06731)7168;http://www.volkerschule.de
BBS;Andernach;"BBS Andernach";62958;"Schillerring 5 - 7";56626;(02632)251660;http://www.august-horch-schule.de
GS;Andernach;"GS Andernach Hasenfänger";26777;"Kurt-Schumacher-Str. 107";56626;(02632)300707;
GS;Andernach;"GS Andernach Martin";15650;"Frankenstr. 43";56626;(02632)1241;gsmartinschule-andernach.de
GS;Andernach;"GS Andernach St. Peter";24808;"Karolingerstr. 63";56626;(02632)1239;
GS;Andernach;"GS Andernach St. Stephan";24794;"Taubentränke 51";56626;(02632)1242;http://www.Stephanschule.bildung-rp.de/
GS;Andernach;"GS Andernach-Eich";13051;Schulstr.;56626;(02632)82871;
GS;Andernach;"GS Andernach-Miesenheim";23400;"Jahnstr. 22";56626;(02632)71663;
GS;Andernach;"GS Andernach-Namedy";15723;"Hauptstr. 56";56626;(02632)1247;
GY;Andernach;"GY Andernach B.v.Suttner";50357;"Salentinstr. 4";56626;"(02632) 92910";http://www.bvs-andernach.de
GY;Andernach;"GY Andernach Salentin";50807;"Salentinstr. 1";56626;"(02632) 96610";http://www.ksgandernach.de
RS+;Andernach;"RS+ Andernach Geschwister Scholl";40324;"Salentinstr. 12";56626;(02632)96560;http://www.gsr.my-myk.de
RS+;Andernach;"RS+ Andernach St. Thomas";41196;"Salentinstr. 1a";56626;02632/940720;
FOES;Andernach;"SFL Andernach";30725;Taubentränke;56626;(02632)987470-0;http://www.esa.my-myk.de
GS;Anhausen;"GS Anhausen";11858;"Auf dem Löh 5";56584;(02639)258;
GS;Annweiler;"GS Annweiler";25695;"Schulstr. 9";76855;(06346)7244;http://www.gsannweiler.de
GY;Annweiler;"GY Annweiler";50060;"Bannenbergstr. 17";76855;(06346)967-0;http://www.trifelsgymnasium.de
RS+;Annweiler;"RS+ Annweiler";40788;"Herrenteichstr. 2";76855;(06346)96510;
FOES;Annweiler;"SFL Annweiler";31117;"Herrenteich 2";76855;(06346)965120;http://staufer-schulzentrum.de
GS;Antweiler;"GS Antweiler";11863;"Eichenbacher Weg 36";53533;(02693)930016;
GS;Appenheim;"GS Appenheim";18306;"Kloppgasse 24";55437;(06725)2699;http://www.schuleappenheim.de
GS;Argenthal;"GS Argenthal";11889;"Aulergasse 25";55496;(06761)1209808;
